Matière,Sujet,Serie,Années,Pays,Type
 Physique-Chimie,http://www.examens-concours.net/sujets/RCI-BAC-2020-PC-Series-CE.pdf,Sciences Dures,2020, Côte d'Ivoire,BAC
 Philosophie,http://www.examens-concours.net/sujets/RCI-BAC-2020-Philo-Series-A1-A2.pdf,A,2020, Côte d'Ivoire,BAC
 Anglais,http://www.examens-concours.net/sujets/RCI-BAC-2020-Anglais-Series-A1-A2.pdf,A,2020, Côte d'Ivoire,BAC
 Français,http://www.examens-concours.net/sujets/RCI-BAC-2020-Francais-Series-ABCDEH.pdf,Toutes Serie,2020, Côte d'Ivoire,BAC
 Mathématiques,http://www.examens-concours.net/sujets/RCI-BAC-2020-Maths-Serie-A1.pdf,A1,2020, Côte d'Ivoire,BAC
 Mathématiques,http://www.examens-concours.net/sujets/RCI-BAC-2020-Maths-Serie-A2.pdf,A2,2020, Côte d'Ivoire,BAC
 Mathématiques,http://www.examens-concours.net/sujets/RCI-BAC-2020-Maths-Serie-C.pdf,C,2020, Côte d'Ivoire,BAC
 Mathématiques,http://www.examens-concours.net/sujets/RCI-BAC-2020-Maths-Serie-D.pdf,D,2020, Côte d'Ivoire,BAC
 Mathématiques,http://www.examens-concours.net/sujets/RCI-BAC-2020-Maths-Serie-E.pdf,E,2020, Côte d'Ivoire,BAC
 Physique-Chimie,http://www.examens-concours.net/sujets/RCI-BAC-2020-PC-Serie-D.pdf,D,2020, Côte d'Ivoire,BAC
 Philosophie,http://www.examens-concours.net/sujets/RCI-BAC-2020-Philo-Series-CDE.pdf,Sciences,2020, Côte d'Ivoire,BAC
 SVT,http://www.examens-concours.net/sujets/RCI-BAC-2020-SVT-Serie-D.pdf,D,2020, Côte d'Ivoire,BAC
 Philosophie,http://www.examens-concours.net/sujets/RCI-2019-BAC-C-D-E-Philo.pdf,Sciences,2019, Côte d'Ivoire,BAC
 Philosophie,http://www.examens-concours.net/sujets/RCI-2019-BAC-A1-A2-Philo.pdf,A,2019, Côte d'Ivoire,BAC
 Anglais,http://www.examens-concours.net/sujets/RCI-2019-BAC-A2-Anglais-LV2.pdf,A2,2019, Côte d'Ivoire,BAC
 Anglais,http://www.examens-concours.net/sujets/RCI-2019-BAC-A1-A2-Anglais-LV1.pdf,A,2019, Côte d'Ivoire,BAC
